"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $1962.19/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode","Method"
"0xc057104cc5637d9d5e57befcca345e8ecd6d6050506de6f32bc4e0e2bff2843a","11678837","1610967398","2021-01-18 10:56:38","0xa102397dbeebefd8cd2f73a89122fcdb53abb6ef","0xdac17f958d2ee523a2206206994597c13d831ec7","","0","0","0","0.00131045","2.5713518855","1258.31","","","Transfer",""
"0x480e83831421d18df9cd366fa5217aee525b8530481ea9cf0234dcfd50f87e07","11684734","1611045997","2021-01-19 08:46:37","0x35558d816c1fba4c8f0e65a733f5bfada4c3f938","0xa102397dbeebefd8cd2f73a89122fcdb53abb6ef","","0.048051890942578784","0","94.2869398886187","0.002037","3.99698103","1367.65","","","Transfer",""
"0x6559fcc264aeba0d5497c808654a1e2b049ba7f4ab28ebdf04c54c91e9d6ded9","11686873","1611074156","2021-01-19 16:35:56","0xa102397dbeebefd8cd2f73a89122fcdb53abb6ef","0xdac17f958d2ee523a2206206994597c13d831ec7","","0","0","0","0.0026209","5.142703771","1367.65","","","Transfer",""
"0xde6bf2f4ee82f9176a2c491aef75737e4a2c7be38e48bdedbc10aba5dbb996fd","11714008","1611433843","2021-01-23 20:30:43","0xea674fdde714fd979de3edf0f56aa9716b898ec8","0xa102397dbeebefd8cd2f73a89122fcdb53abb6ef","","0.050073325797808496","0","98.2533791472019","0.000021","0.04120599","1234.10","","","Transfer",""
"0x431503d5c7871176b3528664a7d9f67d9f930288c656d6f057eae0083af2a53e","11732875","1611684142","2021-01-26 18:02:22","0xea674fdde714fd979de3edf0f56aa9716b898ec8","0xa102397dbeebefd8cd2f73a89122fcdb53abb6ef","","0.050069945466107982","0","98.2467462941424","0.000021","0.04120599","1368.22","","","Transfer",""
"0x86e1d6870b8c76f2454a2bf41cc7901143ccb51cf303e80b5096a7fb206fc9eb","11752646","1611947981","2021-01-29 19:19:41","0x26352d20e6a05e04a1ecc75d4a43ae9989272621","0xa102397dbeebefd8cd2f73a89122fcdb53abb6ef","","0.01200475","0","23.5556004025","0.001869","3.66733311","1379.13","","","Transfer",""
"0xaa9e26ec1f5c7a7be3405f7975507dc527f36112cf736c39a949c98efd6bb5f6","11757604","1612013784","2021-01-30 13:36:24","0xea674fdde714fd979de3edf0f56aa9716b898ec8","0xa102397dbeebefd8cd2f73a89122fcdb53abb6ef","","0.0500342450175877","0","98.1766952310604","0.000021","0.04120599","1379.35","","","Transfer",""
"0xf6e34142e60fd0569ac89280345e51dc47e2b420240e91d3b3702b1924f145a4","11776174","1612260238","2021-02-02 10:03:58","0x35558d816c1fba4c8f0e65a733f5bfada4c3f938","0xa102397dbeebefd8cd2f73a89122fcdb53abb6ef","","0.177787601355587158","0","348.85305350392","0.003381","6.63416439","1513.90","","","Transfer",""
"0x58a256df0d82f43ef3cc8b89ef13ee24019d331434ada4b86d9e276ad6d09f17","11783709","1612360676","2021-02-03 13:57:56","0xea674fdde714fd979de3edf0f56aa9716b898ec8","0xa102397dbeebefd8cd2f73a89122fcdb53abb6ef","","0.050046298329343603","0","98.2003461188547","0.000021","0.04120599","1667.22","","","Transfer",""
"0x70ef753f4f84e7f745560b09ab10a32f2dc52e421610b4a10211555f3795911e","11803973","1612630449","2021-02-06 16:54:09","0xea674fdde714fd979de3edf0f56aa9716b898ec8","0xa102397dbeebefd8cd2f73a89122fcdb53abb6ef","","0.050061555204121115","0","98.2302830059744","0.000021","0.04120599","1679.14","","","Transfer",""
