[*] crt: Performing Crt.sh Search Enumeration against tryhackme.com...
[*] 	 CNAME docs.tryhackme.com tryhackmeltd.github.io
[*] 	 A tryhackmeltd.github.io 185.199.110.153
[*] 	 A tryhackmeltd.github.io 185.199.111.153
[*] 	 A tryhackmeltd.github.io 185.199.109.153
[*] 	 A tryhackmeltd.github.io 185.199.108.153
[*] 	 CNAME docs.tryhackme.com tryhackmeltd.github.io
[*] 	 CNAME store.tryhackme.com shops.myshopify.com
[*] 	 A shops.myshopify.com 23.227.38.74
[*] 	 A blog.tryhackme.com 172.67.69.208
[*] 	 A blog.tryhackme.com 104.26.11.229
[*] 	 A blog.tryhackme.com 104.26.10.229
[*] 	 CNAME assets.tryhackme.com ds7cdvzfs022j.cloudfront.net
[*] 	 A ds7cdvzfs022j.cloudfront.net 13.33.96.106
[*] 	 A ds7cdvzfs022j.cloudfront.net 13.33.96.7
[*] 	 A ds7cdvzfs022j.cloudfront.net 13.33.96.64
[*] 	 A ds7cdvzfs022j.cloudfront.net 13.33.96.75
[*] 	 CNAME assets.tryhackme.com ds7cdvzfs022j.cloudfront.net
[*] 	 A remote.tryhackme.com 172.67.69.208
[*] 	 A remote.tryhackme.com 104.26.11.229
[*] 	 A remote.tryhackme.com 104.26.10.229
[+] 20 Records Found
[*] No dictionary file has been specified.
[*] Using the dictionary file: /usr/share/dnsrecon/namelist.txt (provided by tool)
[*] brt: Performing host and subdomain brute force against tryhackme.com...
[+] 	 A admin.tryhackme.com 104.26.10.229
[+] 	 A admin.tryhackme.com 172.67.69.208
[+] 	 A admin.tryhackme.com 104.26.11.229
[+] 	 AAAA admin.tryhackme.com 2606:4700:20::681a:ae5
[+] 	 AAAA admin.tryhackme.com 2606:4700:20::ac43:45d0
[+] 	 AAAA admin.tryhackme.com 2606:4700:20::681a:be5
[+] 	 A blog.tryhackme.com 172.67.69.208
[+] 	 A blog.tryhackme.com 104.26.11.229
[+] 	 A blog.tryhackme.com 104.26.10.229
[+] 	 AAAA blog.tryhackme.com 2606:4700:20::681a:ae5
[+] 	 AAAA blog.tryhackme.com 2606:4700:20::ac43:45d0
[+] 	 AAAA blog.tryhackme.com 2606:4700:20::681a:be5
[+] 	 CNAME docs.tryhackme.com tryhackmeltd.github.io
[+] 	 A tryhackmeltd.github.io 185.199.110.153
[+] 	 A tryhackmeltd.github.io 185.199.111.153
[+] 	 A tryhackmeltd.github.io 185.199.109.153
[+] 	 A tryhackmeltd.github.io 185.199.108.153
[+] 	 CNAME docs.tryhackme.com tryhackmeltd.github.io
[+] 	 AAAA tryhackmeltd.github.io 2606:50c0:8002::153
[+] 	 AAAA tryhackmeltd.github.io 2606:50c0:8003::153
[+] 	 AAAA tryhackmeltd.github.io 2606:50c0:8000::153
[+] 	 AAAA tryhackmeltd.github.io 2606:50c0:8001::153
[+] 	 A help.tryhackme.com 104.26.10.229
[+] 	 A help.tryhackme.com 104.26.11.229
[+] 	 A help.tryhackme.com 172.67.69.208
[+] 	 AAAA help.tryhackme.com 2606:4700:20::681a:be5
[+] 	 AAAA help.tryhackme.com 2606:4700:20::ac43:45d0
[+] 	 AAAA help.tryhackme.com 2606:4700:20::681a:ae5
[+] 	 A remote.tryhackme.com 172.67.69.208
[+] 	 A remote.tryhackme.com 104.26.11.229
[+] 	 A remote.tryhackme.com 104.26.10.229
[+] 	 AAAA remote.tryhackme.com 2606:4700:20::681a:ae5
[+] 	 AAAA remote.tryhackme.com 2606:4700:20::ac43:45d0
[+] 	 AAAA remote.tryhackme.com 2606:4700:20::681a:be5
[+] 	 CNAME store.tryhackme.com shops.myshopify.com
[+] 	 A shops.myshopify.com 23.227.38.74
[+] 	 A www.tryhackme.com 104.26.10.229
[+] 	 A www.tryhackme.com 172.67.69.208
[+] 	 A www.tryhackme.com 104.26.11.229
[+] 	 AAAA www.tryhackme.com 2606:4700:20::ac43:45d0
[+] 	 AAAA www.tryhackme.com 2606:4700:20::681a:be5
[+] 	 AAAA www.tryhackme.com 2606:4700:20::681a:ae5
[+] 42 Records Found
